schema_name,table_name,column_name,data_type,is_nullable,column_default
public,tournaments,created_at,timestamp with time zone,NO,now()
public,tournaments,id,uuid,NO,gen_random_uuid()
public,tournaments,match_type,text,NO,random
public,tournaments,matches_per_player,integer,NO,3
public,tournaments,round_number,integer,NO,1
public,tournaments,team_assignment_id,uuid,NO,null
public,tournaments,team_type,text,NO,null
public,tournaments,title,text,NO,null
public,tournaments,total_teams,integer,NO,null
public,tournaments,tournament_date,date,NO,null
public,tournaments,updated_at,timestamp with time zone,NO,now()
public,user_notification_stats,latest_notification,timestamp with time zone,YES,null
public,user_notification_stats,read_count,bigint,YES,null
public,user_notification_stats,total_notifications,bigint,YES,null
public,user_notification_stats,unread_count,bigint,YES,null
public,user_notification_stats,user_id,uuid,YES,null
public,user_status,status,text,NO,attending
public,user_status,updated_at,timestamp with time zone,NO,now()
public,user_status,user_id,uuid,NO,null
public,user_status_log,changed_at,timestamp with time zone,NO,now()
public,user_status_log,changed_by,uuid,YES,null
public,user_status_log,id,bigint,NO,null
public,user_status_log,status,text,NO,null
public,user_status_log,user_id,uuid,NO,null
